Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel
115.847,14.31,37.83,1019.36,0.000000,0.000000,0.00,0,2,0.1055,-0.2839,0.5127,49.1069,-39.9771,41.5573,0.595
115.905,14.32,32.19,1019.37,0.000000,0.000000,0.00,0,2,0.3162,-0.5349,0.5449,-32.1450,15.1374,3.2061,0.826
115.984,14.32,37.87,1019.37,0.000000,0.000000,0.00,0,2,0.3726,-0.5342,0.6045,-30.8168,17.2901,-2.1069,0.889
115.993,14.32,37.87,1019.37,0.000000,0.000000,0.00,0,2,0.0996,-0.3430,0.6501,-25.4046,48.0763,-51.5878,0.742
116.154,14.30,37.89,1019.33,0.000000,0.000000,0.00,0,2,0.3740,-0.2915,1.7190,-26.5725,71.1985,-68.4275,1.783
116.162,14.32,37.91,1019.35,0.000000,0.000000,0.00,0,2,0.3445,-0.5488,1.9999,-16.7328,75.6031,-74.7634,2.102
116.171,14.32,37.91,1019.35,0.000000,0.000000,0.00,0,2,0.3860,-0.5105,1.9999,13.2672,77.2977,-79.7786,2.100
116.180,14.32,37.91,1019.35,0.000000,0.000000,0.00,0,2,0.3301,-0.4744,1.9849,27.4580,78.5343,-87.3664,2.067
116.189,14.32,37.91,1019.35,0.000000,0.000000,0.00,0,2,0.1094,-0.1462,1.7302,49.4427,72.8473,-83.6107,1.740
116.197,14.32,37.91,1019.35,0.000000,0.000000,0.00,0,2,0.0212,-0.1375,1.4583,70.1985,64.3130,-81.3817,1.465
116.552,14.32,37.94,1019.32,0.000000,0.000000,0.00,0,2,-0.0014,0.1323,1.0537,38.0916,-21.5496,33.0687,1.062
116.561,14.32,37.94,1019.32,0.000000,0.000000,0.00,0,2,-0.1563,0.0141,0.8474,52.9466,-30.3206,27.0763,0.862
116.570,14.32,37.94,1019.32,0.000000,0.000000,0.00,0,2,0.0305,-0.1318,1.4033,70.8626,-32.3130,19.7252,1.410
116.579,14.32,37.94,1019.32,0.000000,0.000000,0.00,0,2,-0.2051,-0.0378,1.1506,98.8321,-42.4962,13.4122,1.169
116.588,14.32,37.94,1019.32,0.000000,0.000000,0.00,0,2,0.0036,-0.2083,1.3489,130.2137,-54.8092,8.3206,1.365
116.596,14.32,37.94,1019.32,0.000000,0.000000,0.00,0,2,-0.0283,-0.2109,1.9546,157.0382,-60.5420,-2.4046,1.966
116.620,14.32,37.94,1019.32,0.000000,0.000000,0.00,0,2,0.2290,-0.4531,1.9999,212.7634,-74.9847,-3.3359,2.063
116.643,14.30,37.93,1019.30,0.000000,0.000000,0.00,0,2,0.0810,-0.2671,1.9999,250.1298,-195.4427,-8.8244,2.019
116.723,14.30,37.93,1019.28,0.000000,0.000000,0.00,0,2,0.6228,-0.4958,1.6243,250.1298,-193.6565,-116.3130,1.809
116.801,14.31,37.96,1019.28,0.000000,0.000000,0.00,0,2,-0.3142,-0.1396,1.1770,250.1298,-198.7176,-118.4275,1.226
