Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel
2.662,27.18,45.91,1684.13,0.000000,0.000000,0.00,0,0,1.0146,-0.1243,-0.1199,2.4427,1.4122,-0.0152,1.029
2.669,27.18,45.91,1000.00,0.000000,0.000000,0.00,0,0,1.0112,-0.1235,-0.1133,2.0382,1.4046,0.1832,1.025
2.675,27.18,45.91,1000.00,0.000000,0.000000,0.00,0,0,1.0210,-0.1345,-0.1160,1.9618,1.2366,0.3740,1.036
2.681,27.18,45.91,1000.00,0.000000,0.000000,0.00,0,0,1.0110,-0.1223,-0.1104,1.8015,1.1145,0.5878,1.024
2.687,27.18,45.91,1000.00,0.000000,0.000000,0.00,0,0,1.0129,-0.1318,-0.1187,1.5496,1.1221,0.9466,1.028
2.693,27.18,45.91,1000.00,0.000000,0.000000,0.00,0,0,1.0093,-0.1311,-0.1135,1.0992,0.9008,0.8015,1.024
2.699,27.18,45.91,1000.00,0.000000,0.000000,0.00,0,0,1.0139,-0.1313,-0.1182,1.0840,0.7176,1.0763,1.029
2.705,27.18,45.91,1000.00,0.000000,0.000000,0.00,0,0,1.0127,-0.1284,-0.1230,1.2824,1.1145,0.8931,1.028
2.711,27.18,45.91,1000.00,0.000000,0.000000,0.00,0,0,1.0127,-0.1287,-0.1257,1.4656,0.9160,0.7099,1.029
2.717,27.18,45.91,1000.00,0.000000,0.000000,0.00,0,0,1.0049,-0.1333,-0.1257,1.6718,1.2366,0.7252,1.021
2.777,27.17,45.90,999.99,0.000000,0.000000,0.00,0,0,1.0244,-0.1152,-0.1086,2.4809,1.1145,-1.0305,1.037
2.783,27.17,45.90,999.99,0.000000,0.000000,0.00,0,0,1.0208,-0.1165,-0.1145,2.0916,1.1145,-0.6489,1.034
2.789,27.17,45.90,999.99,0.000000,0.000000,0.00,0,0,1.0012,-0.1289,-0.1194,2.0840,1.7634,0.8168,1.017
2.864,27.19,45.90,999.99,0.000000,0.000000,0.00,0,0,1.0107,-0.1328,-0.1116,2.0916,1.6794,0.9924,1.026
2.870,27.19,45.90,999.99,0.000000,0.000000,0.00,0,0,1.0015,-0.1418,-0.1165,1.4122,0.5038,0.0229,1.018
2.944,27.18,45.90,999.99,0.000000,0.000000,0.00,0,0,0.9919,-0.1492,-0.1233,1.1832,0.7481,-0.2519,1.011
