Time_s,Temperature_C,Humidity_%,Pressure_hPa,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s
6.101,23.00,38.22,1006.05,0.9375,-0.2053,-1.2859,-46.1756,-51.9389,-68.4809
6.201,23.00,38.15,1006.05,0.3948,-0.1814,-0.8926,-31.7786,106.6870,-28.8168
6.301,23.00,38.08,1006.03,0.3228,-0.0085,-0.8411,30.3969,-11.4275,6.0840
6.401,23.00,38.02,1006.03,0.9812,0.1758,-1.1030,-119.5954,-27.0534,2.2366
6.501,22.99,37.92,1006.01,0.4836,-0.1050,-0.7017,-29.4656,96.4198,11.8321
6.601,22.99,37.75,1005.99,0.7180,0.2385,-0.7710,8.5115,-7.0916,-61.3893
6.701,22.98,37.69,1005.99,0.5137,0.2649,-0.4875,-6.3435,25.5191,-32.8092
6.801,22.97,37.62,1005.96,0.4077,0.2427,-0.4614,27.8244,4.3511,-30.1756
6.901,22.97,37.56,1005.97,0.2561,0.2751,-0.5044,44.9008,67.9542,27.4733
7.001,22.97,37.51,1005.97,-0.0134,-0.0705,-0.5420,11.1679,-32.2290,83.0458
7.101,22.97,37.47,1005.98,0.8145,0.0231,-1.0022,69.8015,-40.7710,90.2366
7.201,22.97,37.44,1005.99,0.5293,0.0341,-0.6094,102.4504,28.0992,96.8321
7.301,22.97,37.42,1005.99,0.8975,-0.0576,-1.4583,30.6870,-155.7786,40.3282
7.401,22.98,37.40,1006.00,0.6116,-0.2617,-1.4297,95.6260,26.7786,111.6641
7.501,22.98,37.37,1006.00,0.7732,-0.3896,-1.1472,-59.7328,35.8702,-22.0840
7.601,22.98,37.33,1005.99,0.6111,-0.3425,-1.9788,110.2137,-85.3893,11.9771
7.701,22.98,37.29,1006.02,0.5994,-0.4485,-1.5706,-211.6641,133.3053,-11.5954
7.801,22.98,37.23,1006.01,0.5730,-0.2400,-0.8882,-13.5878,32.6183,-95.3206
7.901,22.99,37.18,1006.02,0.2827,0.0112,-0.7168,22.6794,40.4962,-86.3130
8.001,22.98,37.12,1006.00,0.9250,0.3784,-0.8699,-87.6031,-87.2137,-87.7863
8.101,22.98,37.06,1006.01,0.3848,-0.1040,-0.4368,-64.5115,197.7939,-39.2595
8.201,22.97,36.99,1005.99,-0.1680,0.2773,-0.0192,114.8321,91.9237,-3.8855
8.301,22.97,36.96,1005.99,0.2485,0.4309,-0.2612,2.2672,-64.0611,104.6260
8.401,22.97,36.93,1005.96,0.6877,-0.0092,-0.4895,-30.7710,-89.1145,90.6183
8.501,22.97,36.94,1005.98,0.5183,-0.3425,-0.6487,39.3053,-168.9542,30.5878
8.601,22.98,36.96,1005.99,0.6875,-0.0532,-1.7881,231.6336,118.8015,130.3053
8.701,22.98,36.94,1005.99,0.3501,-0.3643,-1.7095,40.1603,-97.9389,70.4962
8.801,22.99,36.95,1006.02,1.1565,0.0041,-2.0000,-67.7634,-89.8931,-79.6870
8.901,22.99,36.92,1006.05,0.1255,-0.8657,-1.6714,-213.3817,5.8931,-66.7786
9.001,23.00,36.88,1006.05,0.8159,0.2935,-0.9458,-85.3130,150.4733,-126.0992
9.101,23.00,36.83,1006.01,0.0378,-0.1775,0.0341,-227.4809,100.7710,-97.9618
9.201,22.99,36.76,1005.97,-0.0593,-0.2175,-0.0158,119.9771,95.6794,-16.7634
9.301,22.99,36.71,1006.00,0.1323,0.6157,-0.5081,163.8473,51.5267,-6.3969
9.401,22.98,36.70,1005.97,0.0607,0.4072,-0.3596,-93.2748,68.4504,147.1374
9.501,22.98,36.71,1005.98,0.1238,-0.3879,-0.9224,-45.1450,-247.4427,139.8168
9.601,22.99,36.70,1005.98,1.4165,-0.0590,-2.0000,218.5725,-205.6107,85.3588
9.701,22.99,36.69,1006.00,0.6272,-0.0376,-2.0000,48.2214,121.5725,-7.3969
9.801,22.99,36.72,1006.02,0.5740,0.0219,-1.8279,-192.1908,40.5191,-12.3588
9.901,23.00,36.67,1006.05,0.6167,-0.5435,-2.0000,-250.1374,93.2748,-247.6488
10.001,23.00,36.64,1006.03,-0.2244,0.0200,-0.0036,-6.9160,193.1450,-55.8397
10.101,23.00,36.54,1005.95,0.4939,0.4165,-0.1995,-103.5954,-99.1527,-136.4122
10.201,22.99,36.50,1006.00,0.0827,0.0263,-0.0871,-68.4657,77.0229,25.5725
10.301,22.98,36.47,1005.95,0.2280,0.1121,-0.0288,73.5343,-20.7786,114.2519
10.401,22.98,36.47,1005.99,0.4558,-0.2388,-0.4377,65.0458,-139.7328,156.6107
10.501,22.99,36.46,1005.97,0.7158,-0.6152,-1.7656,62.3053,-157.3435,78.3206
10.601,22.99,36.45,1006.00,0.9531,-0.4382,-2.0000,250.1298,-64.9466,-77.4046
10.701,22.99,36.44,1006.02,-0.4336,-0.3877,-1.4731,74.1450,-43.3359,83.8473
10.801,22.99,36.43,1006.02,0.9170,-0.2793,-2.0000,-250.1374,-216.2443,47.7557
10.901,22.99,36.40,1006.01,-0.2844,-0.8816,-1.9150,-250.1374,250.1298,56.2901
11.001,23.00,36.36,1006.02,0.1860,-0.2954,-0.7852,-223.5496,214.0000,-1.7328
11.101,22.99,36.32,1005.96,0.2131,-0.3318,-0.0190,-194.8626,205.3053,-85.0076
11.201,22.99,36.28,1005.96,-0.5525,-0.3621,0.3135,180.2366,224.6260,144.5725
11.301,22.98,36.27,1005.95,0.2700,0.6697,-0.0437,163.5649,-133.2137,140.2443
11.401,22.99,36.28,1005.97,0.5908,-0.1367,-0.1980,-39.4656,-144.8321,242.3817
11.501,22.99,36.29,1005.96,0.7627,-0.5198,-1.6980,180.2366,-250.1374,70.7176
11.601,22.99,36.29,1006.01,0.7202,-0.2493,-2.0000,221.0534,79.2443,30.4809
11.701,23.00,36.28,1006.01,-0.0004,-0.4790,-2.0000,125.4885,-148.8244,18.4351
11.801,23.00,36.28,1006.01,0.9519,-0.2959,-2.0000,-235.3969,176.0076,70.4809
11.901,23.01,36.25,1006.05,0.2520,-0.9067,-1.0061,-63.9542,129.0229,-53.3130
12.001,23.00,36.22,1006.00,0.0229,-0.2515,-0.2869,7.0000,75.8702,-61.2290
12.101,23.00,36.18,1005.99,0.2786,-0.0996,-0.5815,-68.1756,-75.4046,-37.1450
12.201,23.00,36.16,1005.97,0.9653,0.2292,-1.0203,-77.6412,-38.1374,-18.5038
12.301,23.00,36.12,1006.00,0.1992,-0.1685,-0.5632,-5.2901,56.6260,8.9466
12.401,23.00,36.08,1006.00,0.6167,0.3188,-0.9456,56.0763,-59.1221,-31.1603
12.501,23.00,36.09,1006.01,0.5422,0.1863,-1.0215,-25.1221,23.3435,20.0458
12.601,23.00,36.04,1006.01,0.4202,0.0578,-0.8364,0.3359,21.6183,9.1221
12.701,23.00,36.02,1006.01,0.7151,0.2688,-1.0852,-19.2061,-60.4580,-34.1450
12.801,23.00,35.98,1005.99,-0.3970,-0.3889,-0.1309,-178.1985,250.1298,45.8321
12.901,23.01,35.96,1005.96,-1.0718,-0.8208,-0.6538,45.6641,-250.1374,171.8092
13.001,23.01,35.95,1005.95,1.9999,0.9426,-2.0000,250.1298,-250.1374,-250.1374
13.101,23.02,35.97,1006.00,-1.4673,-0.6777,-2.0000,-250.1374,250.1298,28.3664
13.201,23.01,35.92,1006.01,-1.6301,-1.7153,0.0837,7.8779,250.1298,232.7557
13.301,23.02,35.88,1005.99,-0.9790,-0.3262,-0.3037,210.1908,-250.1374,250.1298
13.401,23.01,35.85,1005.98,1.9999,-0.1399,-2.0000,-220.7634,-250.1374,-250.1374
13.501,23.01,35.80,1006.00,-0.3184,-0.5752,-2.0000,-250.1374,250.1298,103.4580
13.601,23.00,35.79,1005.98,-2.0000,-0.3489,-0.1260,180.8092,250.1298,153.8855
13.701,22.98,35.76,1005.98,-0.7278,0.6050,-0.3447,-125.6489,-250.1374,250.1298
13.801,22.98,35.74,1006.01,1.9999,-1.3762,-2.0000,-14.5038,-250.1374,-250.1374
13.901,22.98,35.71,1005.98,-2.0000,-0.7756,-2.0000,-24.4809,250.1298,-45.2977
14.001,22.97,35.69,1005.98,-1.3303,-0.7451,0.2244,30.9084,250.1298,-138.0916
14.101,22.97,35.66,1005.97,0.5564,0.5239,-1.4636,85.5954,-250.1374,-37.4580
14.201,22.97,35.64,1006.00,1.8159,0.1028,-1.3984,-140.2137,227.5343,41.4733
14.301,22.97,35.63,1005.99,-0.1140,-0.1677,-0.0515,129.1603,160.2519,-9.9847
14.401,22.96,35.62,1005.98,0.7419,0.5969,-0.7786,53.8321,-211.8702,-9.6718
14.501,22.97,35.61,1005.97,0.8513,-0.1094,-0.8701,-86.2366,-21.8931,116.0382
14.601,22.97,35.60,1005.99,0.9343,-0.1445,-1.0010,83.1221,13.5802,-20.8702
14.701,22.98,35.60,1005.98,0.5315,0.1602,-0.8477,20.5038,81.2519,-29.2443
14.801,22.99,35.62,1005.97,0.6709,0.1045,-0.7822,-26.0763,-102.4809,16.0000
14.901,23.00,35.63,1005.97,0.3740,-0.1760,-0.8765,-13.5802,160.8244,250.1298
15.001,23.00,35.64,1005.99,1.0188,0.1790,-1.0083,25.1756,44.9313,-24.2214
15.101,23.00,35.64,1005.99,0.5500,-0.0488,-0.7815,-27.8626,-42.2443,-34.4809
15.201,23.01,35.64,1005.98,0.7419,-0.0253,-0.8564,5.9237,37.2672,-23.2901
15.301,23.01,35.64,1005.99,0.4846,0.1064,-0.7942,54.8855,-26.2290,-26.0000
15.401,23.01,35.63,1005.99,0.8167,0.1006,-1.0024,-52.1908,-24.4122,-4.1603
15.501,23.01,35.62,1005.99,0.4832,-0.0815,-0.7520,3.3282,51.4656,-24.9466
15.601,23.01,35.61,1005.97,0.7698,0.2092,-0.8752,33.2214,-29.5725,-41.8626
15.701,23.02,35.61,1005.98,0.6306,0.1028,-0.7715,-5.6183,24.9695,1.0611
15.801,23.02,35.60,1005.97,0.6040,0.1978,-0.5923,-82.7939,156.4427,84.2137
15.901,23.02,35.60,1005.97,0.6519,-0.4670,-0.8728,-21.4656,-38.0076,-112.5343
