Time_s,Temperature_C,Humidity_%,Pressure_hPa,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s
1.101,23.30,40.02,1005.90,0.0390,-0.0578,0.9460,-1.2366,2.4885,-0.7939
1.201,23.30,40.02,1005.91,0.0532,-0.0510,0.9565,0.5725,4.3053,2.1450
1.301,23.31,40.01,1005.91,-0.0024,-0.0429,0.9519,-1.0458,5.9618,1.8015
1.401,23.31,40.01,1005.91,-0.0063,-0.0373,0.9629,-0.9466,6.8779,-1.1145
1.501,23.31,40.01,1005.90,-0.0366,0.0009,0.9709,-0.9847,10.9695,4.7939
1.601,23.32,40.01,1005.93,-0.0180,-0.0141,0.9543,-5.7405,-6.2824,-3.0229
1.701,23.32,40.02,1005.94,-0.0581,-0.0139,0.9792,-8.6870,0.3282,7.1298
1.801,23.32,40.02,1005.94,-0.0087,-0.0261,0.9487,6.4351,6.2748,4.6870
1.901,23.33,40.04,1005.95,-0.0437,0.0024,0.9497,2.1221,3.0382,1.5725
2.001,23.33,40.06,1005.94,-0.0463,0.0119,0.9409,-5.6107,-3.3435,-2.4046
2.101,23.33,40.09,1005.95,-0.0087,0.0083,0.9585,0.2443,-1.3511,-2.3893
2.201,23.33,40.11,1005.94,-0.0039,-0.0373,0.9460,0.6183,-3.6794,1.7405
2.301,23.33,40.13,1005.95,-0.0280,0.0275,0.9678,0.5267,3.7481,-0.8855
2.401,23.33,40.19,1005.93,-0.0061,-0.0012,0.9482,-3.2290,-1.3969,0.7405
2.501,23.33,40.22,1005.93,-0.0219,-0.0095,0.9390,2.6794,7.8473,0.6794
2.601,23.33,40.28,1005.94,-0.0556,-0.0021,0.9407,-1.5496,1.8626,-0.0152
2.701,23.34,40.32,1005.91,-0.0432,-0.0141,0.9595,4.0687,2.4122,-0.0152
2.801,23.34,40.34,1005.95,0.0114,0.0029,0.9302,-5.8626,0.6870,8.9847
2.901,23.34,40.35,1005.95,-0.0026,0.0000,0.9639,-3.7252,-0.7099,-0.4351
3.001,23.34,40.33,1005.94,-0.0019,-0.0087,0.9431,-1.9160,-2.3588,-3.7176
3.101,23.34,40.28,1005.92,0.0090,0.0046,0.9546,-2.0763,-0.4275,-0.8321
3.201,23.34,40.20,1005.93,0.0017,-0.0061,0.9365,-0.7710,3.0916,0.4351
3.301,23.34,40.16,1005.90,-0.0131,0.0007,0.9534,-1.7176,0.1145,-1.0076
3.401,23.34,40.11,1005.89,-0.0153,0.0019,0.9631,-3.5496,-1.8702,-2.0687
3.501,23.34,40.07,1005.91,0.0046,0.0031,0.9578,-1.9008,2.6336,0.4427
3.601,23.34,40.03,1005.91,-0.0087,-0.0021,0.9360,-2.4351,1.5954,1.4504
3.701,23.34,40.00,1005.92,-0.0063,0.0014,0.9482,-1.3359,0.7023,0.9695
3.801,23.34,39.97,1005.93,-0.0166,0.0007,0.9480,-1.5191,3.7176,-0.5267
3.901,23.34,39.93,1005.93,-0.0107,0.0114,0.9622,-0.4733,-0.0763,-0.7939
4.001,23.34,39.90,1005.91,-0.0141,0.0175,0.9609,2.2290,-3.1069,0.9008
4.101,23.34,39.86,1005.95,0.0019,0.0412,0.9595,-0.3130,-6.9618,3.4962
4.201,23.35,39.82,1005.92,0.0097,0.0148,0.9517,0.4580,3.3740,-0.9160
4.301,23.34,39.77,1005.94,0.0146,0.0183,0.9570,-2.5649,-3.2595,-2.2443
4.401,23.34,39.72,1005.90,0.0000,0.0056,0.9629,-3.1450,-8.3130,-3.9084
4.501,23.35,39.67,1005.94,0.0976,0.0459,0.9451,3.6565,-18.7176,-18.3511
4.601,23.35,39.62,1005.93,0.0703,0.0227,0.9429,-2.1298,2.3206,-0.1069
4.701,23.35,39.59,1005.93,0.0610,0.0087,0.9377,-4.8855,7.5649,1.1908
4.801,23.36,39.56,1005.96,0.0542,0.0239,0.9602,-4.4122,2.9618,0.0076
4.901,23.35,39.52,1005.92,0.0512,0.0092,0.9448,-2.9008,0.4427,-0.5878
5.001,23.36,39.48,1005.93,0.0468,0.0205,0.9480,-0.8626,-0.1679,0.3511
5.101,23.36,39.44,1005.92,0.0388,-0.0004,0.9453,-1.2137,1.6794,0.0610
5.201,23.36,39.42,1005.93,0.0610,-0.0144,0.9238,3.7023,1.6031,0.8626
5.301,23.36,39.40,1005.91,0.0690,-0.0754,0.7810,5.7176,-1.5115,5.3588
5.401,23.36,39.40,1005.94,0.0217,-0.3513,-0.0710,-10.4962,28.7863,110.2214
5.501,23.36,39.40,1005.88,0.0527,1.0808,0.2363,203.7328,-234.9695,18.6718
5.601,23.36,39.38,1005.93,1.6450,1.4438,1.9999,-22.2901,-168.7328,-34.9160
5.701,23.37,39.28,1005.98,-0.0124,0.0090,0.2451,77.3740,-45.4122,51.4580
5.801,23.36,39.13,1005.99,0.8486,0.4180,1.1008,-13.5496,-102.0916,71.0076
5.901,23.36,38.95,1005.98,0.6704,0.1895,0.5994,-7.1374,-44.0534,2.3664
6.001,23.35,38.75,1005.96,0.7510,0.2864,0.6792,39.7634,-34.9695,9.7863
6.101,23.34,38.56,1005.96,0.7266,0.3018,0.6636,-5.8397,-23.3969,-1.9695
6.201,23.33,38.36,1006.00,0.6953,0.1926,0.5730,-11.8244,-66.0305,-32.0916
6.301,23.32,38.22,1005.98,0.0219,0.2620,0.1960,16.4809,-205.5725,-87.2595
6.401,23.32,38.04,1005.98,1.0227,0.1284,-0.2493,-98.1985,-250.1374,90.7176
6.501,23.31,37.86,1005.97,1.2339,-0.1150,-0.2163,-83.9695,-37.1450,13.5115
6.601,23.31,37.72,1005.95,1.1064,0.0578,-0.2966,24.8702,-36.9771,1.0534
6.701,23.31,37.57,1005.95,0.8628,0.1167,-0.4231,3.7328,-20.8702,-3.4046
6.801,23.31,37.29,1005.96,1.0210,0.1030,-0.4048,-15.6870,-43.0153,4.6947
6.901,23.30,37.20,1005.96,0.9656,0.0163,-0.4932,7.7634,-34.7328,9.9847
7.001,23.29,37.10,1005.96,0.8994,0.1023,-0.6365,-4.2748,9.8855,18.1145
7.101,23.29,37.03,1005.95,0.9224,-0.0048,-0.5212,-21.4427,-41.5344,-1.0992
7.201,23.30,36.97,1005.93,0.9839,0.1055,-0.6240,11.7863,-11.7099,-12.4122
