Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel
3.382,24.52,51.63,1000.26,0.000000,0.000000,0.00,0,1,1.0005,-0.1460,-0.1897,2.1069,-14.6794,2.1756,1.029
3.388,24.52,51.63,1000.26,0.000000,0.000000,0.00,0,1,1.0059,-0.1531,-0.1716,2.8779,-15.5878,2.9008,1.032
3.394,24.52,51.63,1000.26,0.000000,0.000000,0.00,0,1,1.0100,-0.1523,-0.1772,2.9695,-16.3588,3.4122,1.037
3.400,24.52,51.63,1000.26,0.000000,0.000000,0.00,0,1,1.0120,-0.1533,-0.1638,3.4427,-16.8092,3.7557,1.037
3.406,24.52,51.63,1000.26,0.000000,0.000000,0.00,0,1,1.0222,-0.1563,-0.1604,4.1221,-17.0382,3.6870,1.046
3.412,24.52,51.66,1000.26,0.000000,0.000000,0.00,0,1,1.0298,-0.1511,-0.1563,5.0153,-17.1679,3.6641,1.052
3.418,24.52,51.66,1000.26,0.000000,0.000000,0.00,0,1,1.0300,-0.1614,-0.1499,6.1374,-16.7557,2.9618,1.053
3.424,24.52,51.66,1000.26,0.000000,0.000000,0.00,0,1,0.9907,-0.1619,-0.1558,7.3588,-16.5573,2.7023,1.016
3.430,24.52,51.66,1000.26,0.000000,0.000000,0.00,0,1,0.9980,-0.1558,-0.1541,8.7634,-15.9008,1.9084,1.022
3.436,24.52,51.66,1000.26,0.000000,0.000000,0.00,0,1,0.9685,-0.1509,-0.1638,9.7176,-14.9313,0.3588,0.994
3.491,24.52,51.66,1000.26,0.000000,0.000000,0.00,0,1,1.0454,-0.2239,-0.3284,20.1374,7.6641,-10.8779,1.118
3.497,24.52,51.66,1000.26,0.000000,0.000000,0.00,0,1,1.0613,-0.2686,-0.3550,28.7786,9.4046,-11.2214,1.151
3.503,24.52,51.66,1000.26,0.000000,0.000000,0.00,0,1,1.0554,-0.2813,-0.3176,36.9771,11.0611,-12.5878,1.137
3.509,24.50,51.65,1000.23,0.000000,0.000000,0.00,0,1,1.0503,-0.2668,-0.2700,42.9008,13.0916,-13.8168,1.117
3.515,24.50,51.65,1000.23,0.000000,0.000000,0.00,0,1,1.0569,-0.2466,-0.2300,46.0153,15.2443,-15.7557,1.109
3.521,24.50,51.65,1000.23,0.000000,0.000000,0.00,0,1,1.0505,-0.2258,-0.1865,47.5649,17.3511,-17.6031,1.091
3.527,24.50,51.65,1000.23,0.000000,0.000000,0.00,0,1,1.0320,-0.1797,-0.1863,47.3664,19.9389,-19.3588,1.064
3.533,24.50,51.65,1000.23,0.000000,0.000000,0.00,0,1,1.0088,-0.1489,-0.1663,45.9084,22.3130,-20.7023,1.033
3.539,24.50,51.65,1000.23,0.000000,0.000000,0.00,0,1,0.9912,-0.1221,-0.1882,44.3435,24.5649,-22.3817,1.016
3.545,24.50,51.65,1000.23,0.000000,0.000000,0.00,0,1,0.9663,-0.1206,-0.2083,43.0153,26.7634,-23.0458,0.996
3.625,24.49,51.61,1000.20,0.000000,0.000000,0.00,0,1,1.0537,-0.0048,-0.1006,21.1221,31.2290,-16.6489,1.059
3.631,24.49,51.61,1000.20,0.000000,0.000000,0.00,0,1,0.9622,0.0261,-0.0681,19.2977,29.0153,-16.0992,0.965
3.637,24.49,51.61,1000.20,0.000000,0.000000,0.00,0,1,1.0093,-0.0144,-0.0839,20.6336,27.0458,-13.8397,1.013
3.643,24.49,51.61,1000.20,0.000000,0.000000,0.00,0,1,1.0337,-0.0065,-0.1047,20.8168,26.7328,-11.6794,1.039
3.649,24.49,51.61,1000.20,0.000000,0.000000,0.00,0,1,1.1072,0.0249,-0.1321,21.7176,24.8702,-10.8550,1.115
3.655,24.49,51.61,1000.20,0.000000,0.000000,0.00,0,1,0.9929,0.0564,-0.1831,22.0611,24.6489,-7.8244,1.011
3.661,24.49,51.61,1000.20,0.000000,0.000000,0.00,0,1,1.0068,-0.0168,-0.1250,21.6031,22.2595,-6.4962,1.015
3.667,24.49,51.61,1000.20,0.000000,0.000000,0.00,0,1,1.0037,0.0244,-0.1992,19.4733,22.8626,-3.3969,1.024
3.673,24.49,51.61,1000.20,0.000000,0.000000,0.00,0,1,0.9773,-0.0639,-0.1006,23.2290,21.5191,-1.0458,0.985
3.679,24.49,51.61,1000.21,0.000000,0.000000,0.00,0,1,1.0054,-0.0305,-0.0539,24.4733,-0.1832,14.8931,1.007
3.883,24.54,51.60,1000.29,0.000000,0.000000,0.00,0,1,1.0046,-0.0644,-0.0920,19.8473,-3.1908,-1.6412,1.011
3.889,24.54,51.60,1000.29,0.000000,0.000000,0.00,0,1,1.0107,-0.0564,-0.0966,19.8931,-3.0916,-1.5802,1.017
3.895,24.54,51.60,1000.28,0.000000,0.000000,0.00,0,1,1.0117,-0.0659,-0.0859,21.1069,-2.5725,-1.2443,1.017
3.901,24.54,51.57,1000.28,0.000000,0.000000,0.00,0,1,1.0144,-0.0708,-0.0981,22.9160,-2.8092,-1.1069,1.022
3.907,24.54,51.57,1000.28,0.000000,0.000000,0.00,0,1,1.0300,-0.0671,-0.0947,24.6183,-2.7023,-0.2977,1.037
