Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel
5.290,28.78,41.28,999.95,0.000000,0.000000,0.00,0,0,1.0454,-0.1072,-0.2908,-3.6947,-3.8550,3.5649,1.090
5.365,28.78,41.28,999.95,0.000000,0.000000,0.00,0,0,1.0361,-0.0908,-0.2908,-4.8626,-3.8168,4.2824,1.080
5.371,28.78,41.28,999.95,0.000000,0.000000,0.00,0,0,1.0371,-0.0798,-0.3079,-5.9695,-3.8626,4.9847,1.085
5.377,28.78,41.28,999.95,0.000000,0.000000,0.00,0,0,1.0393,-0.0854,-0.3416,-7.0916,-3.8168,5.9542,1.097
5.383,28.78,41.30,999.97,0.000000,0.000000,0.00,0,0,1.0588,-0.0793,-0.3472,-7.6183,-3.5267,6.5344,1.117
5.389,28.78,41.30,999.97,0.000000,0.000000,0.00,0,0,1.0083,-0.2412,-0.4001,3.7786,8.9542,8.8550,1.111
5.463,28.78,41.30,999.97,0.000000,0.000000,0.00,0,0,0.9927,-0.2522,-0.4131,4.8855,9.3664,8.9847,1.104
5.517,28.78,41.33,999.96,0.000000,0.000000,0.00,0,0,0.9434,-0.2476,-0.3076,10.0382,9.0534,-0.7481,1.023
5.523,28.78,41.33,999.96,0.000000,0.000000,0.00,0,0,0.9685,-0.2629,-0.3508,10.8855,9.4275,-1.3435,1.063
5.529,28.78,41.33,999.96,0.000000,0.000000,0.00,0,0,0.9739,-0.2295,-0.3247,10.2061,9.3588,-1.8397,1.052
5.535,28.78,41.33,999.96,0.000000,0.000000,0.00,0,0,0.9800,-0.2219,-0.3281,9.1527,9.6107,-2.8626,1.057
5.541,28.79,41.31,999.99,0.000000,0.000000,0.00,0,0,1.0039,-0.1438,-0.3582,-0.2290,17.7405,-6.3893,1.076
5.616,28.79,41.31,999.99,0.000000,0.000000,0.00,0,0,1.0134,-0.1409,-0.3828,1.5267,18.2977,-5.5420,1.092
5.621,28.79,41.31,999.99,0.000000,0.000000,0.00,0,0,1.0090,-0.1123,-0.3674,3.5496,19.0076,-5.1450,1.080
5.627,28.79,41.31,999.99,0.000000,0.000000,0.00,0,0,0.6694,-0.3613,-0.4978,52.3130,2.6412,50.0534,0.909
5.703,28.79,41.30,999.99,0.000000,0.000000,0.00,0,0,0.8467,-0.2207,-0.2405,56.3511,3.8473,45.3435,0.907
5.708,28.79,41.30,999.99,0.000000,0.000000,0.00,0,0,0.9492,-0.1848,-0.2654,56.2366,-3.0000,51.3435,1.003
5.799,28.78,41.30,999.97,0.000000,0.000000,0.00,0,0,1.0759,-0.3169,-0.2100,56.0076,-0.0076,43.1985,1.141
5.805,28.78,41.30,999.97,0.000000,0.000000,0.00,0,0,1.0720,-0.3071,-0.1636,52.0229,0.8550,41.3588,1.127
5.811,28.78,41.30,999.97,0.000000,0.000000,0.00,0,0,1.0513,-0.3225,-0.1458,48.7328,1.4351,38.6489,1.109
5.818,28.78,41.30,999.97,0.000000,0.000000,0.00,0,0,1.0232,-0.3350,-0.1401,45.2748,1.8473,36.3282,1.086
5.823,28.78,41.30,999.97,0.000000,0.000000,0.00,0,0,0.9949,-0.3225,-0.1521,43.0000,2.2290,34.0687,1.057
5.829,28.78,41.30,999.97,0.000000,0.000000,0.00,0,0,0.9722,-0.3218,-0.1582,40.6183,2.7252,31.9084,1.036
5.835,28.78,41.30,999.97,0.000000,0.000000,0.00,0,0,0.9458,-0.3008,-0.1641,38.9924,3.3969,29.7176,1.006
5.841,28.78,41.30,999.97,0.000000,0.000000,0.00,0,0,0.9390,-0.2246,-0.1223,35.2901,3.5573,27.2519,0.973
5.847,28.78,41.30,999.97,0.000000,0.000000,0.00,0,0,1.0181,-0.3872,-0.2493,33.6412,5.2519,28.8550,1.117
5.853,28.78,41.30,999.97,0.000000,0.000000,0.00,0,0,0.9111,-0.3015,-0.1958,32.6641,6.3893,26.2137,0.979
