Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel
2.612,25.99,46.48,1000.08,0.000000,0.000000,0.00,0,0,0.9824,-0.1301,-0.1375,-3.6260,1.6107,-7.5267,1.000
2.618,25.99,46.48,1000.08,0.000000,0.000000,0.00,0,0,0.9744,-0.1243,-0.1165,-3.3435,1.6031,-7.5115,0.989
2.624,25.99,46.48,1000.08,0.000000,0.000000,0.00,0,0,0.9731,-0.1277,-0.1357,-2.2824,1.5954,-7.4809,0.991
2.630,25.99,46.48,1000.08,0.000000,0.000000,0.00,0,0,0.9810,-0.1240,-0.1292,-1.6489,1.2748,-7.3359,0.997
2.636,25.99,46.47,1000.10,0.000000,0.000000,0.00,0,0,0.9795,-0.1292,-0.1152,-1.0229,1.3664,-7.3969,0.995
2.642,25.99,46.47,1000.10,0.000000,0.000000,0.00,0,0,0.9836,-0.1184,-0.1340,-0.2443,1.0687,-7.1450,1.000
2.648,25.99,46.47,1000.10,0.000000,0.000000,0.00,0,0,0.9790,-0.1130,-0.1287,0.8092,1.2443,-6.9389,0.994
2.654,25.99,46.47,1000.10,0.000000,0.000000,0.00,0,0,0.9814,-0.1062,-0.1301,1.2290,1.0611,-6.5649,0.996
2.660,25.99,46.47,1000.10,0.000000,0.000000,0.00,0,0,0.9812,-0.1042,-0.1436,1.6870,1.2290,-6.3588,0.997
2.666,-140.91,46.47,1000.10,0.000000,0.000000,0.00,0,0,0.9871,-0.1001,-0.1267,1.7481,1.1603,-6.1374,1.000
2.787,25.96,46.47,1000.04,0.000000,0.000000,0.00,0,0,1.0212,-0.0920,-0.1035,5.2824,0.9160,0.7405,1.031
2.793,25.96,46.47,1000.04,0.000000,0.000000,0.00,0,0,1.0293,-0.0949,-0.1174,4.9237,0.8702,0.8092,1.040
2.799,25.96,46.47,1000.04,0.000000,0.000000,0.00,0,0,1.0339,-0.0893,-0.1106,4.1908,0.7634,0.9313,1.044
2.805,25.96,46.47,1000.04,0.000000,0.000000,0.00,0,0,1.0403,-0.0944,-0.1082,3.5038,0.8397,1.1679,1.050
2.811,26.01,46.47,1000.09,0.000000,0.000000,0.00,0,0,1.0334,-0.1013,-0.1062,0.4504,-0.2519,1.9313,1.044
2.884,26.01,46.47,1000.09,0.000000,0.000000,0.00,0,0,1.0264,-0.1123,-0.1072,0.4962,-0.2824,1.8779,1.038
2.890,26.01,46.47,1000.09,0.000000,0.000000,0.00,0,0,1.0293,-0.1091,-0.1104,0.5649,-0.2214,2.0458,1.041
2.896,26.01,46.47,1000.09,0.000000,0.000000,0.00,0,0,1.0225,-0.1006,-0.1169,0.4504,-0.2137,2.2137,1.034
2.902,26.01,46.47,1000.09,0.000000,0.000000,0.00,0,0,1.0183,-0.1057,-0.1084,0.5267,-0.1603,2.4580,1.030
2.908,26.01,46.47,1000.09,0.000000,0.000000,0.00,0,0,1.0203,-0.0988,-0.1211,0.5954,0.0152,2.4351,1.032
2.992,26.01,46.49,1000.09,0.000000,0.000000,0.00,0,0,1.0122,-0.1113,-0.1143,1.2061,0.5649,4.9160,1.025
2.998,26.01,46.49,1000.09,0.000000,0.000000,0.00,0,0,1.0151,-0.1113,-0.1101,0.7481,0.7023,4.9008,1.027
3.004,26.01,46.49,1000.09,0.000000,0.000000,0.00,0,0,1.0068,-0.1152,-0.1074,0.1374,0.9389,5.1298,1.019
3.010,26.01,46.41,1000.09,0.000000,0.000000,0.00,0,0,0.9883,-0.1338,-0.1099,-0.8931,2.5573,4.4809,1.003
3.085,26.01,46.41,1000.09,0.000000,0.000000,0.00,0,0,0.9790,-0.1316,-0.1091,-1.0458,2.5038,4.4427,0.994
3.091,26.01,46.41,1000.09,0.000000,0.000000,0.00,0,0,0.9866,-0.1284,-0.1145,-1.1298,2.3435,4.2519,1.001
3.097,26.01,46.41,1000.09,0.000000,0.000000,0.00,0,0,0.9827,-0.1370,-0.1201,-1.3664,2.4198,3.9695,0.999
3.103,26.01,46.41,1000.09,0.000000,0.000000,0.00,0,0,0.9695,-0.1294,-0.1182,-1.1069,2.3588,3.9008,0.985
3.109,26.01,46.41,1000.09,0.000000,0.000000,0.00,0,0,0.9761,-0.1355,-0.1233,-1.1527,2.1374,3.7405,0.993
3.115,26.01,46.41,1000.09,0.000000,0.000000,0.00,0,0,0.9705,-0.1299,-0.1287,-1.0382,2.1527,3.5038,0.988
3.160,26.01,46.43,1000.09,0.000000,0.000000,0.00,0,0,1.0049,-0.1240,-0.1377,-0.5038,0.9847,3.5496,1.022
