Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel
77.745,26.99,45.23,999.84,0.000000,0.000000,0.00,0,1,0.1863,-0.0817,1.0269,-4.0992,-1.8244,3.9160,1.047
77.818,26.99,45.23,999.84,0.000000,0.000000,0.00,0,1,0.1814,-0.0749,1.0027,4.9160,2.0916,1.7405,1.022
77.858,26.98,45.20,999.81,0.000000,0.000000,0.00,0,1,0.1846,-0.0861,1.0176,7.9313,3.9466,-1.1985,1.038
77.934,26.98,45.20,999.81,0.000000,0.000000,0.00,0,1,0.1724,-0.0898,1.0146,10.7634,5.5115,-3.0992,1.033
78.024,26.98,45.22,999.82,0.000000,0.000000,0.00,0,1,0.2017,-0.0439,1.0298,5.8550,3.2977,-3.3740,1.050
78.118,26.99,45.22,999.81,0.000000,0.000000,0.00,0,1,0.1650,-0.0739,1.0017,3.6183,0.3511,6.9771,1.018
78.219,26.99,45.22,999.84,0.000000,0.000000,0.00,0,1,0.1941,-0.1140,0.9658,0.0839,-0.2519,0.4046,0.992
78.318,26.99,45.18,999.83,0.000000,0.000000,0.00,0,1,0.2507,-0.1172,1.0122,0.3130,12.2061,3.1069,1.049
78.418,27.00,45.17,999.82,0.000000,0.000000,0.00,0,1,0.1086,-0.1150,1.0474,-3.1221,9.4733,0.2443,1.059
78.459,27.00,45.22,999.83,0.000000,0.000000,0.00,0,1,0.1040,-0.1140,1.0730,-1.0763,9.3206,-0.1679,1.084
78.592,27.00,45.21,999.81,0.000000,0.000000,0.00,0,3,0.1191,-0.0053,1.0093,4.7405,9.4656,-6.2901,1.016
78.725,27.00,45.18,999.83,0.000000,0.000000,0.00,0,3,0.1035,-0.0314,1.0273,8.2824,7.5878,0.3740,1.033
78.785,27.00,45.18,999.83,0.000000,0.000000,0.00,0,3,0.1055,-0.0510,1.0269,5.1679,-0.1298,1.6489,1.034
78.885,26.99,45.19,999.82,0.000000,0.000000,0.00,0,3,0.1260,-0.0515,1.0305,0.9542,-6.5420,1.4122,1.039
78.891,26.99,45.19,999.82,0.000000,0.000000,0.00,0,3,0.1340,-0.0590,1.0195,0.8397,-6.4656,1.4733,1.030
78.897,26.99,45.19,999.82,0.000000,0.000000,0.00,0,3,0.1382,-0.0573,1.0315,1.0076,-6.3969,1.2977,1.042
78.903,26.99,0.00,999.82,0.000000,0.000000,0.00,0,3,0.1687,-0.0625,0.9902,3.7023,-2.7328,-0.4351,1.006
78.978,27.00,45.15,999.82,0.000000,0.000000,0.00,0,3,0.1655,-0.0454,0.9944,2.8550,-1.9771,0.0381,1.009
78.984,27.00,45.15,999.82,0.000000,0.000000,0.00,0,3,0.1707,-0.0405,1.0012,1.5420,-1.4351,-0.0534,1.016
78.990,27.00,45.15,999.82,0.000000,0.000000,0.00,0,3,0.1650,-0.0449,0.9971,1.5725,-0.9924,0.1374,1.012
79.115,27.00,45.16,999.82,0.000000,0.000000,0.00,0,3,0.1401,-0.0793,1.0193,2.8473,4.1832,3.3969,1.032
79.120,27.00,45.16,999.82,0.000000,0.000000,0.00,0,3,0.1484,-0.0656,1.0225,3.0153,3.8015,3.0687,1.035
79.126,27.00,45.16,999.82,0.000000,0.000000,0.00,0,3,0.1313,-0.0722,1.0234,2.2824,3.6183,2.5038,1.034
